timestamp,name,result1,result2,result3
20121114T071145,UNSEPA,635,2266,-209
20100405T070429,EXURB1,402,7446,-105
20080624T030636,RARITY,933,6494,586
20060904T050916,FRUNZE,598,204,-480
20151109T091127,SOLARI,159,1461,890
20100408T020431,SNUFFL,566,5956,-615
20061224T031201,BALLFL,123,1198,-421
20060315T080327,BRAZIL,874,7024,-494
20120823T050850,GUEUX5,61,2118,307
20091112T051126,BALLFL,9,5722,267
20090430T020459,SOLARI,100,3327,-984
20080805T070803,TASHLI,193,7526,93
20110109T100134,SNUFFL,406,3293,-170
20150708T050744,SOLARI,213,3811,403
20070808T120829,BALLFL,520,2887,261
20150706T040756,DELCAS,295,5385,806
20070106T090150,STELLI,528,5865,661
20101224T041220,EXURB1,285,1323,-30
20150428T010406,STELLI,795,1124,-501
20101223T101202,SOLARI,410,3838,41
20100703T080708,HANDLE,53,9645,882
20100611T080626,UNSEPA,116,3049,923
20130110T110140,SNUFFL,572,4966,323
20090312T120302,GUEUX5,838,7408,231
20090503T010543,BRAZIL,127,6273,275
20131219T031234,JURYRI,332,8060,401
20111101T021100,DELCAS,313,6101,-747
20060324T020324,SNUFFL,497,7687,201
20151125T031121,WAYLAY,261,2323,203
20140322T050326,SUPERN,57,3106,-39
20110630T020639,TASHLI,622,4858,324
20091029T111039,SHNAPS,625,5873,438
20130924T030929,STELLI,27,494,-370
20100617T050629,INTERP,699,NODATA,310
20111121T061145,STELLI,887,3881,-858
20080405T030425,STELLI,813,4974,-852
20070130T060142,CORPOR,812,9661,-546
20100810T010815,HANDLE,948,9829,-530
20081109T091115,TASHLI,567,2076,-196
20080401T050436,DELCAS,300,5143,-779
20130715T070732,SHNAPS,765,6004,136
20121218T101237,ROSIL7,546,7559,237
20080320T090357,UNSEPA,842,6746,-811
20091206T021228,BRAZIL,417,6447,-699
20120905T090911,KONIOL,941,4890,-56
20060721T050759,OUTBAK,236,3617,856
20130724T050722,ROSIL7,5,8786,-846
timestamp,name,result1,result2,result3
20090206T120228,SOLARI,75,5110,-272
20150928T090958,INTERP,112,5325,-640
20160111T020110,HANDLE,862,1809,634
20111104T111154,RARITY,599,666,-166
20130422T090450,BRAZIL,727,2610,-561
20061207T011203,TASHLI,561,1043,957
20130925T090929,BALLFL,958,813,978
20060613T100649,FRUNZE,413,4876,-819
20071103T011100,PARICU,425,5422,306
20060530T010553,PARICU,99,1683,-668
20130710T090711,UNACLI,67,9914,-301
20120415T100402,UNACLI,871,5157,-198
20110224T100240,TASHLI,886,3823,892
20080129T010104,DELCAS,394,5983,-298
20080407T090445,PARICU,498,7676,565
20080417T030439,KONIOL,935,2474,-669
20100123T040157,SUPERN,503,998,637
20091101T041113,DELCAS,974,7768,13
20150627T060638,SOLARI,325,9332,-518
20110725T080737,SOLARI,28,3411,-883
20140812T120846,BALLFL,182,6394,-512
20150413T010459,BRAZIL,200,9261,-850
20090115T060152,UNACLI,864,5694,689
20140822T020835,KONIOL,583,2925,-743
20110615T070611,PARICU,851,1807,472
20140504T060550,UNSEPA,742,1761,966
20100123T020116,TASHLI,799,5793,-238
20141210T051236,DELCAS,113,3137,-73
20140215T100207,ROSIL7,560,332,-4
20110829T030815,TASHLI,502,201,-502
20140520T070559,ROSIL7,277,4343,-730
20120904T020922,UNSEPA,966,8719,693
20090104T010157,VARIET,947,1683,244
20130708T040716,BRAZIL,155,8801,690
20120524T010557,BRAZIL,764,2109,-887
20150830T040803,UNACLI,239,4718,704
20080822T050859,VARIET,433,1771,453
20150817T060806,BRAZIL,505,3506,-390
20100917T040916,WAYLAY,458,1054,557
20090630T020635,KONIOL,255,455,-580
20150814T100850,HANDLE,525,1102,-809
20070201T090219,DELCAS,921,9061,35
20130811T040818,BRAZIL,828,3148,514
20140318T060338,SOLARI,182,5787,104
20060325T050341,FRUNZE,713,5947,-127
20060404T100415,JURYRI,617,7753,396
20120614T080602,STELLI,976,8805,-513
20070320T030329,CORPOR,203,8113,-405
20090407T090438,EXURB1,230,3129,547
20060709T100747,STELLI,318,8797,-89
20140727T050706,SUPERN,722,6262,698
20091207T081236,UNSEPA,369,7305,-682
20141228T061223,ROSIL7,487,5193,-999
20150828T060809,PARICU,378,6048,-892
20150117T120147,VARIET,83,3233,-336
20060902T040958,JURYRI,122,1389,-442
20110107T030146,OUTBAK,493,9229,-734
20111227T111254,KONIOL,777,4700,-459
20070406T070421,VARIET,129,1089,-142
20141229T021223,JURYRI,104,3199,505
20110626T100642,FRUNZE,85,2365,75
20140210T070229,GUEUX5,472,9725,492
20090203T110230,OUTBAK,312,5876,412
20110723T100731,RARITY,86,1072,413
20140912T060920,BRAZIL,402,6641,-403
20121218T031230,OUTBAK,199,4096,988
20100128T030129,JURYRI,558,2385,130
20090304T010314,OUTBAK,965,4250,511
20151029T021030,VARIET,361,6372,32
20150221T040256,ROSIL7,114,5335,-480
20120914T090902,DELCAS,118,8563,-646
20131017T011038,STELLI,945,1020,-567
20130719T070722,WAYLAY,543,3668,-899
20150611T060625,DELCAS,284,118,622
20061011T041030,GUEUX5,431,6045,-415
20091125T041152,VARIET,13,9379,-596
20110906T010915,INTERP,168,1327,-299
20130717T080737,BALLFL,209,2134,-38
20141214T011221,JURYRI,289,3569,-716
20131205T051209,INTERP,700,6021,-226
20130416T070411,INTERP,815,1912,541
20150813T100857,SUPERN,510,4438,-456
20130703T100732,WAYLAY,NODATA,9523,983
20141212T021212,WAYLAY,NODATA,9834,-781
20120424T120459,UNACLI,NODATA,528,1494,-837
20060614T070611,ROSIL7,NODATA,85,8416,-957
20120614T080601,UNACLI,NODATA,9372,-874
20140922T090958,PARICU,NODATA,1956,-842
20070214T070246,HANDLE,640,4621,393
20130831T080830,SOLARI,599,8793,439
20090903T080919,SNUFFL,135,4044,874
20060429T090422,UNSEPA,215,9950,178
20111013T071054,JURYRI,937,5363,-817
20090729T050756,BRAZIL,33,299,-589
20120831T080841,DELCAS,959,1786,712
20080713T080755,DELCAS,69,1360,-984
20150523T070514,STELLI,368,4098,-324
20100501T030516,ROSIL7,986,8717,928
20131105T011140,UNSEPA,231,3529,70
20120131T040120,ROSIL7,641,3871,-300
